Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9588156k free), swap 23213284k(9184772k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:17:52.783+0200: 5.064: [GC (Allocation Failure) 2020-09-29T18:17:52.783+0200: 5.064: [ParNew: 581592K->51695K(613440K), 0.0267321 secs] 586284K->56386K(2029056K), 0.0268077 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:52.861+0200: 5.141: [GC (Allocation Failure) 2020-09-29T18:17:52.861+0200: 5.141: [ParNew: 597039K->39247K(613440K), 0.0265196 secs] 601730K->43938K(2029056K), 0.0265896 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:52.938+0200: 5.218: [GC (Allocation Failure) 2020-09-29T18:17:52.938+0200: 5.218: [ParNew: 584591K->37833K(613440K), 0.0158924 secs] 589282K->42524K(2029056K), 0.0159582 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:53.016+0200: 5.297: [GC (Allocation Failure) 2020-09-29T18:17:53.016+0200: 5.297: [ParNew: 583177K->41703K(613440K), 0.0248824 secs] 587868K->46394K(2029056K), 0.0249723 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:53.091+0200: 5.372: [GC (Allocation Failure) 2020-09-29T18:17:53.091+0200: 5.372: [ParNew: 587047K->52968K(613440K), 0.0283778 secs] 591738K->57659K(2029056K), 0.0284470 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:53.171+0200: 5.452: [GC (Allocation Failure) 2020-09-29T18:17:53.171+0200: 5.452: [ParNew: 598312K->66920K(613440K), 0.0287036 secs] 603003K->71611K(2029056K), 0.0287721 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:53.251+0200: 5.532: [GC (Allocation Failure) 2020-09-29T18:17:53.251+0200: 5.532: [ParNew: 612264K->32219K(613440K), 0.0189480 secs] 616955K->36910K(2029056K), 0.0190136 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:53.324+0200: 5.605: [GC (Allocation Failure) 2020-09-29T18:17:53.324+0200: 5.605: [ParNew: 577563K->30320K(613440K), 0.0194623 secs] 582254K->35011K(2029056K), 0.0195296 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:53.400+0200: 5.681: [GC (Allocation Failure) 2020-09-29T18:17:53.400+0200: 5.681: [ParNew: 575664K->51597K(613440K), 0.0258311 secs] 580355K->56288K(2029056K), 0.0258971 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:53.475+0200: 5.756: [GC (Allocation Failure) 2020-09-29T18:17:53.475+0200: 5.756: [ParNew: 596941K->37285K(613440K), 0.0240770 secs] 601632K->41976K(2029056K), 0.0241433 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
